return_id,order_id,customer_id,return_date,reason,status
RET-567681fd-7d2d-452c-864c-a777eb7f1a48,ORD-38bd3de7-4493-4fe0-b64e-e110ce643824,CUST-66d6b5e7-eb41-4707-b8db-3151869d74f8,2025-09-03 21:00:00,Item Not as Described,Approved
RET-7f1b88d2-875a-4f6d-97c7-242d82fb5b01,ORD-bf80ff83-26a6-4b4c-bc80-ea852c86da9b,CUST-4a92443a-3da3-4cc4-b574-4cd9aba866b1,2025-08-18 03:00:00,Late Delivery,Approved
RET-4cae79a6-585f-49d3-9641-4403a60c6033,ORD-527d5abe-721b-46c2-8345-643c2ed02af7,CUST-4aa09a30-3097-4bea-b41c-65f8cb537d80,2026-05-06 02:00:00,Late Delivery,Rejected
RET-dda1a9de-79d2-44c3-8d38-072799402b1b,ORD-48daefa9-5138-4520-90b5-a5a030bf5a85,CUST-32678ad7-474d-4cb2-abc9-bbccf925f24c,2025-09-26 16:00:00,Wrong Size / Fit,Approved
RET-707b3f5b-0c7b-45af-bbca-06f82fab012c,ORD-7739d4c4-4f90-4af8-aae4-3e263f7738ab,CUST-f04b7a38-0a51-4587-86c4-3461fac18b5e,2025-12-28 10:00:00,Defective / Damaged,Approved
RET-26f3e405-bd08-421a-9d7e-7b0e1396d180,ORD-0ea6fee9-26bb-4342-b83f-2c8139048164,CUST-32b58449-8c05-4278-a885-0e83cc15e246,2026-08-02 15:00:00,Changed Mind,Approved
RET-b59b7eb9-f000-41ee-8e73-31395ff19f18,ORD-45ba108b-1514-4187-976b-194c5afb1437,CUST-7c043a15-73b4-4d97-8f5b-090c6203edb9,2025-12-25 05:00:00,Defective / Damaged,Approved
RET-a81c54d1-85d1-40c0-82df-a374f17577ef,ORD-2016b306-a91b-49a5-9506-f112a6eff1f2,CUST-1b2dd197-4a20-4b1b-b91f-5acae5f34f94,2026-04-17 17:00:00,Wrong Size / Fit,Rejected
RET-c69b94e4-fd2b-4c02-8897-4da0ca527678,ORD-78f335e5-58d8-4109-a08d-7b0566048d02,CUST-de30a851-4634-48b0-8789-258191a4d145,2025-02-08 13:00:00,Wrong Size / Fit,Approved
RET-abc29ff8-8188-4e47-94a8-5090160282fd,ORD-943e6b31-ddc7-4691-8f08-0b5faf7f32ad,CUST-009ff040-d27e-4b7b-9cb3-9d6a23fac679,2026-05-18 19:00:00,Defective / Damaged,Approved
RET-85644d69-42b0-44fc-a231-ddc66dd12f6e,ORD-f3644b14-4acd-46e3-9b1a-1a8f33e54869,CUST-3c0f69b1-f461-4b7c-837d-0fffba5143e9,2025-08-10 21:00:00,Changed Mind,Approved
RET-41aad6e1-ef35-4630-80db-6056d994a506,ORD-b9c8636a-5153-46fd-9952-3a42b1593dd8,CUST-7c043a15-73b4-4d97-8f5b-090c6203edb9,2026-01-01 20:00:00,Defective / Damaged,Approved
RET-b0907c4e-fb38-4f94-adf2-e1fab465f08e,ORD-cf1a58dd-44ad-49d8-8712-64e2aec19262,CUST-8f1999d9-fd2a-4188-977c-d6cfde48b12a,2025-11-07 10:00:00,Late Delivery,Rejected
RET-24aad2dc-d5e6-4bbc-9a27-e579b7913eea,ORD-7e87750b-112d-443f-81fe-aee3f3979fa0,CUST-15831d9f-96eb-4352-8a52-e272be4b7d20,2025-06-14 18:00:00,Item Not as Described,Approved
RET-7cb5f355-b152-418d-bc91-50b49d623092,ORD-189f181b-2e53-4127-bb16-212eaddaad91,CUST-c3f7c517-5d87-413b-bd9c-f4cf4fe56fc3,2026-05-22 16:00:00,Late Delivery,Approved
RET-56e515c3-257f-4c64-a02b-a3575b5bfacd,ORD-ceddbdde-8c28-4161-88d1-75ca6fd1d095,CUST-f52a1f42-94a0-4506-a9e9-f1ecb1ddafaf,2026-08-19 00:00:00,Item Not as Described,Approved
RET-f1c741cc-3891-47bd-a288-77df43be5627,ORD-24caee50-1c96-446e-8653-2a6384bc7944,CUST-067316bd-d42b-4a6a-a692-5358bf4297dd,2026-06-16 02:00:00,Wrong Size / Fit,Rejected
RET-9282b299-94bc-49da-a40e-b545cea6b2b8,ORD-bbbdab09-9970-4bd7-820d-f28c9448a43b,CUST-79832843-194d-4dad-be01-2ebbf9b6d44f,2026-01-26 15:00:00,Changed Mind,Approved
RET-81485581-374c-45b2-b832-15f31f74a693,ORD-6f7b329a-8134-4c59-9d03-333f31bf48e1,CUST-784174f9-a283-41cb-a2c1-0a93e7231263,2025-06-22 09:00:00,Defective / Damaged,Approved
RET-daa0e5c8-effb-43f0-aff4-7b5b18b0001e,ORD-19908a49-1690-44e0-a018-7d7b73e63e0a,CUST-17ecd18d-c985-4e38-9bb0-a2fc5b33f332,2026-05-27 16:00:00,Changed Mind,Approved
RET-1a63b1cb-69f0-4e1e-8ff9-3ccabc56ef3f,ORD-f90b2acb-13a6-494b-8a4c-91f891b9b89b,CUST-12d56580-2e45-4bed-ad50-2bf5a3f11b22,2025-01-09 10:00:00,Defective / Damaged,Rejected
RET-6bf2b7d3-36e2-4b2a-afed-ebc167eec387,ORD-b02ece92-eb39-4eae-ba47-dd422ad3f3d2,CUST-15039afd-e253-4b6f-8626-0d1a7b008571,2025-06-28 19:00:00,Late Delivery,Rejected
RET-aa9c49fe-3ea9-4efb-86fd-b3f21bc8069b,ORD-fd9f8882-2499-4950-b91f-5ec3ba5c680b,CUST-83d1a02c-240c-4f94-9621-fe07e809c6d4,2026-05-25 15:00:00,Late Delivery,Approved
RET-6ce3f974-1d8d-49c8-8a6e-c0a4dc38b6a2,ORD-1bfa5e9e-b084-41d8-af4c-e7c54174cc0f,CUST-b5c3308f-1eba-44c4-95d5-4e4fe97f4f68,2026-01-21 05:00:00,Defective / Damaged,Approved
RET-423753d6-8785-454a-b975-7f5b5bc7c06c,ORD-2b6bce88-68a8-4057-94b3-4329e3ee13b8,CUST-0dc49963-b4e8-49d5-9e9d-07380f9f14e4,2026-08-30 18:00:00,Changed Mind,Approved
RET-af5a6b6f-b603-4cc0-b328-932e5645bdcc,ORD-14ae5f14-08a2-4616-b9aa-495df01aadeb,CUST-34eab866-b096-4219-8091-c398d868dc48,2025-11-22 21:00:00,Defective / Damaged,Approved
RET-848ed375-99fa-43e1-be9f-070196a55e3a,ORD-b0fb491e-f79c-469c-8a51-dc938c8f162f,CUST-2e32404f-62f6-4529-94e7-8685c870dc28,2025-03-19 05:00:00,Wrong Size / Fit,Approved
